5,3,23,50231,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
23,47,5,50383,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
83,5,5,50527,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
13,47,7,51151,"[""Prime""]","[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]",,,,
3,5,23,51431,"[""Prime""]","[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
5,5,23,52639,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
7,5,23,53887,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
3,7,23,53899,"[""Prime""]","[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,
11,3,23,54011,"[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
13,3,23,55351,"[""Prime""]","[""Prime""]","[""Germain"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,,
83,11,5,56479,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
11,5,23,56503,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
83,5,7,56807,"[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]"
47,23,11,58363,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
11,7,23,59083,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
3,47,11,60539,"[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
7,11,23,61723,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
7,47,11,63067,"[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,
23,7,23,68059,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
47,47,5,69439,"[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",,
107,5,3,70207,"[""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]",,
83,5,11,71359,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
107,7,3,72251,"[""Prime""]","[""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Prime""]",,,
23,11,23,73819,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]"
83,7,11,73819,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
23,47,11,74779,"[""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]","[""Safe"""," ""Prime""]","[""Germain"""," ""Safe"""," ""Prime""]",
